priority_rank,sku,product_name,category,location,zone,latest_system_qty,latest_physical_qty,quantity_variance,absolute_quantity_variance,unit_cost,inventory_value,location_adjustment_exposure,variance_event_count,recurring_variance,count_records,recount_count,recount_rate,transaction_volume,location_recurrence_flag,control_tier,control_reason,count_action_flag,priority_score,recommended_count_frequency
1870,SKU0267,Fasteners 0267,Fasteners,Z1-B03,Z1,637,637,0,0,31.90,20320.30,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1871,SKU0268,Maintenance Parts 0268,Maintenance Parts,Z1-B02,Z1,729,729,0,0,35.60,25952.40,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1872,SKU0269,Shipping Supplies 0269,Shipping Supplies,Z1-B01,Z1,870,870,0,0,39.30,34191.00,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1873,SKU0269,Shipping Supplies 0269,Shipping Supplies,Z2-B01,Z2,178,178,0,0,39.30,6995.40,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1874,SKU0270,Material Handling 0270,Material Handling,Z3-B04,Z3,277,277,0,0,43.00,11911.00,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1875,SKU0278,Maintenance Parts 0278,Maintenance Parts,Z1-B04,Z1,110,110,0,0,72.60,7986.00,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1876,SKU0282,Electrical Components 0282,Electrical Components,Z3-B04,Z3,514,514,0,0,87.40,44923.60,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1877,SKU0283,Safety Supplies 0283,Safety Supplies,Z2-B03,Z2,518,518,0,0,91.10,47189.80,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1878,SKU0286,Consumables 0286,Consumables,Z3-B04,Z3,731,731,0,0,102.20,74708.20,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1879,SKU0295,Tools 0295,Tools,Z1-B03,Z1,629,629,0,0,15.50,9749.50,0.00,0,N,13,0,0.00,191,N,Routine,Routine: no recurring variance or recount pattern,N,9.60,Quarterly
1880,SKU0004,Packaging 0004,Packaging,Z3-B02,Z3,526,526,0,0,18.80,9888.80,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1881,SKU0006,Consumables 0006,Consumables,Z2-B04,Z2,686,686,0,0,26.20,17973.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1882,SKU0008,Maintenance Parts 0008,Maintenance Parts,Z3-B02,Z3,172,172,0,0,33.60,5779.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1883,SKU0009,Shipping Supplies 0009,Shipping Supplies,Z1-B01,Z1,831,831,0,0,37.30,30996.30,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1884,SKU0009,Shipping Supplies 0009,Shipping Supplies,Z2-B01,Z2,224,224,0,0,37.30,8355.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1885,SKU0010,Material Handling 0010,Material Handling,Z1-B01,Z1,33,33,0,0,41.00,1353.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1886,SKU0012,Electrical Components 0012,Electrical Components,Z3-B02,Z3,495,495,0,0,48.40,23958.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1887,SKU0014,Packaging 0014,Packaging,Z1-B04,Z1,579,579,0,0,55.80,32308.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1888,SKU0016,Consumables 0016,Consumables,Z1-B02,Z1,733,733,0,0,63.20,46325.60,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1889,SKU0020,Material Handling 0020,Material Handling,Z3-B02,Z3,278,278,0,0,78.00,21684.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1890,SKU0022,Electrical Components 0022,Electrical Components,Z1-B04,Z1,414,414,0,0,85.40,35355.60,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1891,SKU0026,Consumables 0026,Consumables,Z3-B04,Z3,718,718,0,0,100.20,71943.60,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1892,SKU0028,Maintenance Parts 0028,Maintenance Parts,Z2-B03,Z2,0,0,0,0,107.60,0.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1893,SKU0033,Safety Supplies 0033,Safety Supplies,Z2-B01,Z2,488,488,0,0,6.10,2976.80,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1894,SKU0033,Safety Supplies 0033,Safety Supplies,Z3-B01,Z3,525,525,0,0,6.10,3202.50,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1895,SKU0037,Fasteners 0037,Fasteners,Z1-B01,Z1,123,123,0,0,20.90,2570.70,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1896,SKU0038,Maintenance Parts 0038,Maintenance Parts,Z1-B04,Z1,282,282,0,0,24.60,6937.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1897,SKU0038,Maintenance Parts 0038,Maintenance Parts,Z2-B04,Z2,234,234,0,0,24.60,5756.40,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1898,SKU0054,Packaging 0054,Packaging,Z2-B04,Z2,868,868,0,0,83.80,72738.40,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1899,SKU0061,Industrial Supplies 0061,Industrial Supplies,Z2-B01,Z2,571,571,0,0,109.70,62638.70,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1900,SKU0064,Packaging 0064,Packaging,Z1-B02,Z1,718,718,0,0,120.80,86734.40,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1901,SKU0073,Safety Supplies 0073,Safety Supplies,Z1-B01,Z1,768,768,0,0,34.10,26188.80,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1902,SKU0077,Fasteners 0077,Fasteners,Z1-B01,Z1,355,355,0,0,48.90,17359.50,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1903,SKU0093,Safety Supplies 0093,Safety Supplies,Z1-B01,Z1,174,174,0,0,108.10,18809.40,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1904,SKU0102,Electrical Components 0102,Electrical Components,Z2-B04,Z2,230,230,0,0,21.40,4922.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1905,SKU0118,Maintenance Parts 0118,Maintenance Parts,Z1-B04,Z1,620,620,0,0,80.60,49972.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1906,SKU0125,Tools 0125,Tools,Z1-B01,Z1,443,443,0,0,106.50,47179.50,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1907,SKU0128,Maintenance Parts 0128,Maintenance Parts,Z3-B02,Z3,704,704,0,0,117.60,82790.40,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1908,SKU0130,Material Handling 0130,Material Handling,Z2-B04,Z2,221,221,0,0,5.00,1105.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1909,SKU0132,Electrical Components 0132,Electrical Components,Z3-B02,Z3,417,417,0,0,12.40,5170.80,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1910,SKU0135,Tools 0135,Tools,Z1-B03,Z1,570,570,0,0,23.50,13395.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1911,SKU0136,Consumables 0136,Consumables,Z1-B02,Z1,531,531,0,0,27.20,14443.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1912,SKU0140,Material Handling 0140,Material Handling,Z3-B02,Z3,249,249,0,0,42.00,10458.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1913,SKU0142,Electrical Components 0142,Electrical Components,Z2-B04,Z2,454,454,0,0,49.40,22427.60,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1914,SKU0142,Electrical Components 0142,Electrical Components,Z3-B04,Z3,536,536,0,0,49.40,26478.40,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1915,SKU0143,Safety Supplies 0143,Safety Supplies,Z2-B03,Z2,522,522,0,0,53.10,27718.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1916,SKU0148,Maintenance Parts 0148,Maintenance Parts,Z1-B02,Z1,727,727,0,0,71.60,52053.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1917,SKU0149,Shipping Supplies 0149,Shipping Supplies,Z1-B02,Z1,0,0,0,0,75.30,0.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1918,SKU0161,Industrial Supplies 0161,Industrial Supplies,Z1-B01,Z1,416,416,0,0,119.70,49795.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1919,SKU0162,Electrical Components 0162,Electrical Components,Z3-B04,Z3,515,515,0,0,123.40,63551.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1920,SKU0164,Packaging 0164,Packaging,Z1-B02,Z1,614,614,0,0,10.80,6631.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1921,SKU0174,Packaging 0174,Packaging,Z2-B04,Z2,720,720,0,0,47.80,34416.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1922,SKU0181,Industrial Supplies 0181,Industrial Supplies,Z1-B01,Z1,546,546,0,0,73.70,40240.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1923,SKU0181,Industrial Supplies 0181,Industrial Supplies,Z2-B01,Z2,472,472,0,0,73.70,34786.40,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1924,SKU0186,Consumables 0186,Consumables,Z3-B04,Z3,285,285,0,0,92.20,26277.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1925,SKU0189,Shipping Supplies 0189,Shipping Supplies,Z1-B01,Z1,346,346,0,0,103.30,35741.80,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1926,SKU0193,Safety Supplies 0193,Safety Supplies,Z2-B01,Z2,696,696,0,0,118.10,82197.60,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1927,SKU0195,Tools 0195,Tools,Z2-B03,Z2,259,259,0,0,5.50,1424.50,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1928,SKU0202,Electrical Components 0202,Electrical Components,Z3-B04,Z3,708,708,0,0,31.40,22231.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1929,SKU0205,Tools 0205,Tools,Z3-B01,Z3,294,294,0,0,42.50,12495.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1930,SKU0225,Tools 0225,Tools,Z1-B01,Z1,353,353,0,0,116.50,41124.50,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1931,SKU0227,Fasteners 0227,Fasteners,Z1-B03,Z1,431,431,0,0,123.90,53400.90,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1932,SKU0231,Industrial Supplies 0231,Industrial Supplies,Z2-B03,Z2,715,715,0,0,18.70,13370.50,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1933,SKU0233,Safety Supplies 0233,Safety Supplies,Z1-B01,Z1,140,140,0,0,26.10,3654.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1934,SKU0234,Packaging 0234,Packaging,Z3-B04,Z3,433,433,0,0,29.80,12903.40,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1935,SKU0242,Electrical Components 0242,Electrical Components,Z1-B01,Z1,35,35,0,0,59.40,2079.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1936,SKU0244,Packaging 0244,Packaging,Z1-B02,Z1,309,309,0,0,66.80,20641.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1937,SKU0250,Material Handling 0250,Material Handling,Z1-B04,Z1,756,756,0,0,89.00,67284.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1938,SKU0250,Material Handling 0250,Material Handling,Z3-B04,Z3,233,233,0,0,89.00,20737.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1939,SKU0253,Safety Supplies 0253,Safety Supplies,Z3-B01,Z3,385,385,0,0,100.10,38538.50,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1940,SKU0254,Packaging 0254,Packaging,Z2-B04,Z2,471,471,0,0,103.80,48889.80,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1941,SKU0257,Fasteners 0257,Fasteners,Z1-B01,Z1,550,550,0,0,114.90,63195.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1942,SKU0258,Maintenance Parts 0258,Maintenance Parts,Z3-B04,Z3,780,780,0,0,118.60,92508.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1943,SKU0270,Material Handling 0270,Material Handling,Z2-B04,Z2,253,253,0,0,43.00,10879.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1944,SKU0273,Safety Supplies 0273,Safety Supplies,Z3-B01,Z3,532,532,0,0,54.10,28781.20,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1945,SKU0282,Electrical Components 0282,Electrical Components,Z2-B04,Z2,431,431,0,0,87.40,37669.40,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1946,SKU0290,Material Handling 0290,Material Handling,Z3-B04,Z3,450,450,0,0,117.00,52650.00,0.00,0,N,13,0,0.00,190,N,Routine,Routine: no recurring variance or recount pattern,N,9.55,Quarterly
1947,SKU0001,Industrial Supplies 0001,Industrial Supplies,Z1-B01,Z1,180,180,0,0,7.70,1386.00,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1948,SKU0001,Industrial Supplies 0001,Industrial Supplies,Z2-B01,Z2,339,339,0,0,7.70,2610.30,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1949,SKU0002,Electrical Components 0002,Electrical Components,Z2-B04,Z2,399,399,0,0,11.40,4548.60,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1950,SKU0002,Electrical Components 0002,Electrical Components,Z3-B04,Z3,376,376,0,0,11.40,4286.40,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1951,SKU0005,Tools 0005,Tools,Z1-B01,Z1,569,569,0,0,22.50,12802.50,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1952,SKU0006,Consumables 0006,Consumables,Z1-B04,Z1,572,572,0,0,26.20,14986.40,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1953,SKU0006,Consumables 0006,Consumables,Z3-B04,Z3,754,754,0,0,26.20,19754.80,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1954,SKU0008,Maintenance Parts 0008,Maintenance Parts,Z1-B02,Z1,775,775,0,0,33.60,26040.00,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1955,SKU0012,Electrical Components 0012,Electrical Components,Z1-B02,Z1,331,331,0,0,48.40,16020.40,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1956,SKU0018,Maintenance Parts 0018,Maintenance Parts,Z1-B04,Z1,131,131,0,0,70.60,9248.60,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1957,SKU0021,Industrial Supplies 0021,Industrial Supplies,Z2-B01,Z2,416,416,0,0,81.70,33987.20,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1958,SKU0021,Industrial Supplies 0021,Industrial Supplies,Z3-B01,Z3,366,366,0,0,81.70,29902.20,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1959,SKU0025,Tools 0025,Tools,Z1-B01,Z1,709,709,0,0,96.50,68418.50,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1960,SKU0026,Consumables 0026,Consumables,Z2-B04,Z2,712,712,0,0,100.20,71342.40,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1961,SKU0028,Maintenance Parts 0028,Maintenance Parts,Z3-B02,Z3,286,286,0,0,107.60,30773.60,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1962,SKU0033,Safety Supplies 0033,Safety Supplies,Z1-B01,Z1,573,573,0,0,6.10,3495.30,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1963,SKU0037,Fasteners 0037,Fasteners,Z1-B02,Z1,34,34,0,0,20.90,710.60,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1964,SKU0055,Tools 0055,Tools,Z3-B04,Z3,0,0,0,0,87.50,0.00,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1965,SKU0105,Tools 0105,Tools,Z1-B01,Z1,423,423,0,0,32.50,13747.50,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1966,SKU0106,Consumables 0106,Consumables,Z3-B04,Z3,507,507,0,0,36.20,18353.40,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1967,SKU0109,Shipping Supplies 0109,Shipping Supplies,Z1-B01,Z1,626,626,0,0,47.30,29609.80,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1968,SKU0114,Packaging 0114,Packaging,Z1-B04,Z1,298,298,0,0,65.80,19608.40,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1969,SKU0117,Fasteners 0117,Fasteners,Z2-B01,Z2,669,669,0,0,76.90,51446.10,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1970,SKU0118,Maintenance Parts 0118,Maintenance Parts,Z3-B04,Z3,841,841,0,0,80.60,67784.60,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1971,SKU0122,Electrical Components 0122,Electrical Components,Z2-B04,Z2,389,389,0,0,95.40,37110.60,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1972,SKU0124,Packaging 0124,Packaging,Z1-B02,Z1,446,446,0,0,102.80,45848.80,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1973,SKU0126,Consumables 0126,Consumables,Z1-B04,Z1,581,581,0,0,110.20,64026.20,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1974,SKU0128,Maintenance Parts 0128,Maintenance Parts,Z1-B02,Z1,743,743,0,0,117.60,87376.80,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1975,SKU0145,Tools 0145,Tools,Z3-B01,Z3,596,596,0,0,60.50,36058.00,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1976,SKU0149,Shipping Supplies 0149,Shipping Supplies,Z1-B01,Z1,161,161,0,0,75.30,12123.30,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1977,SKU0151,Industrial Supplies 0151,Industrial Supplies,Z1-B03,Z1,395,395,0,0,82.70,32666.50,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1978,SKU0157,Fasteners 0157,Fasteners,Z3-B01,Z3,166,166,0,0,104.90,17413.40,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1979,SKU0158,Maintenance Parts 0158,Maintenance Parts,Z2-B04,Z2,207,207,0,0,108.60,22480.20,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1980,SKU0159,Shipping Supplies 0159,Shipping Supplies,Z1-B03,Z1,242,242,0,0,112.30,27176.60,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1981,SKU0184,Packaging 0184,Packaging,Z1-B02,Z1,765,765,0,0,84.80,64872.00,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1982,SKU0185,Tools 0185,Tools,Z3-B01,Z3,141,141,0,0,88.50,12478.50,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1983,SKU0214,Packaging 0214,Packaging,Z1-B01,Z1,26,26,0,0,75.80,1970.80,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1984,SKU0222,Electrical Components 0222,Electrical Components,Z3-B04,Z3,234,234,0,0,105.40,24663.60,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1985,SKU0230,Material Handling 0230,Material Handling,Z3-B04,Z3,755,755,0,0,15.00,11325.00,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1986,SKU0237,Fasteners 0237,Fasteners,Z1-B01,Z1,553,553,0,0,40.90,22617.70,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1987,SKU0252,Electrical Components 0252,Electrical Components,Z1-B02,Z1,323,323,0,0,96.40,31137.20,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1988,SKU0255,Tools 0255,Tools,Z1-B03,Z1,461,461,0,0,107.50,49557.50,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1989,SKU0270,Material Handling 0270,Material Handling,Z1-B04,Z1,281,281,0,0,43.00,12083.00,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1990,SKU0274,Packaging 0274,Packaging,Z2-B04,Z2,613,613,0,0,57.80,35431.40,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1991,SKU0285,Tools 0285,Tools,Z1-B01,Z1,547,547,0,0,98.50,53879.50,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1992,SKU0292,Electrical Components 0292,Electrical Components,Z3-B02,Z3,518,518,0,0,4.40,2279.20,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1993,SKU0296,Consumables 0296,Consumables,Z1-B02,Z1,718,718,0,0,19.20,13785.60,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1994,SKU0297,Fasteners 0297,Fasteners,Z1-B01,Z1,189,189,0,0,22.90,4328.10,0.00,0,N,13,0,0.00,189,N,Routine,Routine: no recurring variance or recount pattern,N,9.50,Quarterly
1995,SKU0001,Industrial Supplies 0001,Industrial Supplies,Z1-B02,Z1,1,1,0,0,7.70,7.70,0.00,0,N,13,0,0.00,188,N,Routine,Routine: no recurring variance or recount pattern,N,9.45,Quarterly
1996,SKU0021,Industrial Supplies 0021,Industrial Supplies,Z1-B01,Z1,385,385,0,0,81.70,31454.50,0.00,0,N,13,0,0.00,188,N,Routine,Routine: no recurring variance or recount pattern,N,9.45,Quarterly
1997,SKU0024,Packaging 0024,Packaging,Z1-B02,Z1,491,491,0,0,92.80,45564.80,0.00,0,N,13,0,0.00,188,N,Routine,Routine: no recurring variance or recount pattern,N,9.45,Quarterly
1998,SKU0035,Tools 0035,Tools,Z2-B03,Z2,806,806,0,0,13.50,10881.00,0.00,0,N,13,0,0.00,188,N,Routine,Routine: no recurring variance or recount pattern,N,9.45,Quarterly
1999,SKU0046,Consumables 0046,Consumables,Z2-B01,Z2,0,0,0,0,54.20,0.00,0.00,0,N,13,0,0.00,188,N,Routine,Routine: no recurring variance or recount pattern,N,9.45,Quarterly
