priority_rank,sku,product_name,category,supplier,location_count,total_system_qty,total_physical_qty,total_quantity_variance,total_absolute_quantity_variance,unit_cost,inventory_value,adjustment_exposure,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,reorder_point_trigger,safety_stock_trigger,lead_time_trigger,materiality_flag,replenishment_tier,replenishment_reason,action_flag,priority_score
233,SKU0206,Consumables 0206,Consumables,Atlas Industrial,12,5354,5354,0,0,46.20,247354.80,0.00,5.54,965.65,46,40,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.12
234,SKU0069,Shipping Supplies 0069,Shipping Supplies,Harbor Safety,12,7142,7142,0,0,19.30,137840.60,347.40,5.75,1242.09,59,35,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.06
235,SKU0070,Material Handling 0070,Material Handling,Summit Packaging,12,8072,8072,0,0,23.00,185656.00,184.00,5.57,1450.06,70,40,8,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.03
236,SKU0106,Consumables 0106,Consumables,Atlas Industrial,12,6655,6655,0,0,36.20,240911.00,0.00,5.46,1219.86,66,20,8,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.02
237,SKU0199,Shipping Supplies 0199,Shipping Supplies,Harbor Safety,12,6962,6962,0,0,20.30,141328.60,324.80,5.38,1293.25,49,45,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.00
238,SKU0046,Consumables 0046,Consumables,Atlas Industrial,12,4431,4431,0,0,54.20,240160.20,0.00,5.43,815.52,46,40,20,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.00
239,SKU0176,Consumables 0176,Consumables,Atlas Industrial,12,4348,4348,0,0,55.20,240009.60,0.00,5.07,858.16,36,10,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.00
240,SKU0071,Industrial Supplies 0071,Industrial Supplies,Atlas Industrial,12,8967,8967,0,0,26.70,239418.90,0.00,5.29,1693.66,81,45,15,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.99
241,SKU0135,Tools 0135,Tools,Summit Packaging,12,7739,7739,0,0,23.50,181866.50,188.00,5.18,1493.05,65,45,13,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.99
242,SKU0038,Maintenance Parts 0038,Maintenance Parts,Cedar Components,12,4195,4195,0,0,24.60,103197.00,442.80,5.54,756.61,38,40,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.97
243,SKU0233,Safety Supplies 0233,Safety Supplies,Cedar Components,12,4226,4226,0,0,26.10,110298.60,417.60,5.88,718.30,23,15,15,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.96
244,SKU0266,Consumables 0266,Consumables,Atlas Industrial,12,8406,8406,0,0,28.20,237049.20,0.00,5.57,1510.06,66,20,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.95
245,SKU0076,Consumables 0076,Consumables,Atlas Industrial,12,5217,5217,0,0,45.20,235808.40,0.00,5.13,1016.30,56,30,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.93
246,SKU0134,Packaging 0134,Packaging,Harbor Safety,12,6968,6968,0,0,19.80,137966.40,316.80,5.46,1277.23,54,40,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.91
247,SKU0168,Maintenance Parts 0168,Maintenance Parts,Cedar Components,12,4266,4266,0,0,25.60,109209.60,409.60,4.87,876.58,28,10,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.90
248,SKU0136,Consumables 0136,Consumables,Atlas Industrial,12,8567,8567,0,0,27.20,233022.40,0.00,5.00,1713.40,76,10,20,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.88
249,SKU0006,Consumables 0006,Consumables,Atlas Industrial,12,8743,8743,0,0,26.20,229066.60,0.00,5.37,1629.13,86,40,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.82
250,SKU0005,Tools 0005,Tools,Summit Packaging,12,7738,7738,0,0,22.50,174105.00,180.00,5.71,1356.22,75,35,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.82
251,SKU0103,Safety Supplies 0103,Safety Supplies,Cedar Components,12,4232,4232,0,0,25.10,106223.20,401.60,5.32,795.99,33,45,5,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.81
252,SKU0141,Industrial Supplies 0141,Industrial Supplies,Atlas Industrial,12,4864,4864,0,0,45.70,222284.80,0.00,5.68,855.84,51,35,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.71
253,SKU0004,Packaging 0004,Packaging,Harbor Safety,12,6898,6898,0,0,18.80,129682.40,300.80,5.04,1367.44,64,30,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.69
254,SKU0271,Industrial Supplies 0271,Industrial Supplies,Atlas Industrial,12,4729,4729,0,0,46.70,220844.30,0.00,5.32,889.47,41,45,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.68
255,SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,12,4796,4796,0,0,44.70,214381.20,0.00,5.12,937.33,61,25,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.57
256,SKU0263,Safety Supplies 0263,Safety Supplies,Cedar Components,12,6355,6355,0,0,17.10,108670.50,273.60,5.12,1242.02,33,45,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.20
257,SKU0198,Maintenance Parts 0198,Maintenance Parts,Cedar Components,12,6046,6046,0,0,16.60,100363.60,298.80,5.50,1099.27,38,40,4,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.19
258,SKU0230,Material Handling 0230,Material Handling,Summit Packaging,12,9897,9897,0,0,15.00,148455.00,135.00,5.37,1844.16,70,40,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.16
259,SKU0295,Tools 0295,Tools,Summit Packaging,12,9714,9714,0,0,15.50,150567.00,124.00,5.29,1834.75,65,45,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.14
260,SKU0068,Maintenance Parts 0068,Maintenance Parts,Cedar Components,12,6106,6108,-2,2,15.60,95284.80,280.80,4.93,1238.11,48,30,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.01
261,SKU0133,Safety Supplies 0133,Safety Supplies,Cedar Components,12,6330,6330,0,0,16.10,101913.00,257.60,5.79,1092.43,43,35,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,3.01
262,SKU0165,Tools 0165,Tools,Summit Packaging,12,9904,9904,0,0,14.50,143608.00,116.00,5.82,1702.69,75,35,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.98
263,SKU0003,Safety Supplies 0003,Safety Supplies,Cedar Components,12,6095,6095,0,0,15.10,92034.50,271.80,5.38,1132.20,53,25,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.91
264,SKU0100,Material Handling 0100,Material Handling,Summit Packaging,12,9735,9735,0,0,14.00,136290.00,112.00,4.96,1964.46,80,30,20,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.84
265,SKU0035,Tools 0035,Tools,Summit Packaging,12,9977,9977,0,0,13.50,134689.50,108.00,5.25,1900.38,85,25,15,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.79
266,SKU0294,Packaging 0294,Packaging,Harbor Safety,12,8708,8708,0,0,11.80,102754.40,188.80,5.57,1564.31,54,40,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.67
267,SKU0229,Shipping Supplies 0229,Shipping Supplies,Harbor Safety,12,9267,9267,0,0,11.30,104717.10,180.80,5.71,1624.21,59,35,5,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.66
268,SKU0099,Shipping Supplies 0099,Shipping Supplies,Harbor Safety,12,9183,9183,0,0,10.30,94584.90,185.40,5.29,1734.46,69,25,13,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.52
269,SKU0164,Packaging 0164,Packaging,Harbor Safety,12,8820,8820,0,0,10.80,95256.00,172.80,5.00,1764.00,64,30,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.47
270,SKU0296,Consumables 0296,Consumables,Atlas Industrial,12,7414,7414,0,0,19.20,142348.80,0.00,4.96,1496.10,76,10,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.37
271,SKU0034,Packaging 0034,Packaging,Harbor Safety,12,8793,8793,0,0,9.80,86171.40,176.40,5.37,1638.45,74,20,8,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.33
272,SKU0297,Fasteners 0297,Fasteners,Blue Ridge Supply,12,3575,3575,0,0,22.90,81867.50,183.20,5.62,636.50,87,15,13,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.29
273,SKU0167,Fasteners 0167,Fasteners,Blue Ridge Supply,12,3487,3487,0,0,21.90,76365.30,197.10,5.21,669.86,97,45,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.27
274,SKU0166,Consumables 0166,Consumables,Atlas Industrial,12,7454,7454,0,0,18.20,135662.80,0.00,5.63,1323.20,86,40,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.26
275,SKU0231,Industrial Supplies 0231,Industrial Supplies,Atlas Industrial,12,7192,7192,0,0,18.70,134490.40,0.00,5.25,1369.90,81,45,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.24
276,SKU0232,Electrical Components 0232,Electrical Components,Blue Ridge Supply,12,3376,3376,0,0,22.40,75622.40,179.20,5.07,666.32,92,10,8,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.17
277,SKU0102,Electrical Components 0102,Electrical Components,Blue Ridge Supply,12,3528,3528,0,0,21.40,75499.20,171.20,5.43,649.33,22,40,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.13
278,SKU0036,Consumables 0036,Consumables,Atlas Industrial,12,7407,7407,0,0,17.20,127400.40,0.00,5.07,1461.91,96,30,4,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.12
279,SKU0101,Industrial Supplies 0101,Industrial Supplies,Atlas Industrial,12,7148,7148,0,0,17.70,126519.60,0.00,5.62,1272.64,91,35,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.11
280,SKU0037,Fasteners 0037,Fasteners,Blue Ridge Supply,12,3420,3420,0,0,20.90,71478.00,167.20,5.88,581.30,27,35,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,2.04
281,SKU0262,Electrical Components 0262,Electrical Components,Blue Ridge Supply,12,5493,5493,0,0,13.40,73606.20,107.20,5.54,990.72,22,40,20,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.77
282,SKU0228,Maintenance Parts 0228,Maintenance Parts,Cedar Components,12,8241,8241,0,0,7.60,62631.60,136.80,5.04,1633.68,48,30,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.74
283,SKU0293,Safety Supplies 0293,Safety Supplies,Cedar Components,12,7850,7850,0,0,8.10,63585.00,129.60,5.75,1365.22,43,35,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.72
284,SKU0132,Electrical Components 0132,Electrical Components,Blue Ridge Supply,12,5454,5454,0,0,12.40,67629.60,111.60,5.13,1062.47,32,30,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.69
285,SKU0197,Fasteners 0197,Fasteners,Blue Ridge Supply,12,5075,5076,-1,1,12.90,65480.40,116.10,5.68,893.14,27,35,15,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.68
286,SKU0163,Safety Supplies 0163,Safety Supplies,Cedar Components,12,7801,7801,0,0,7.10,55387.10,127.80,5.18,1505.02,53,25,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.57
287,SKU0067,Fasteners 0067,Fasteners,Blue Ridge Supply,12,5280,5280,0,0,11.90,62832.00,95.20,5.12,1031.92,37,25,5,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.53
288,SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,12,5349,5349,0,0,11.40,60978.60,91.20,5.50,972.55,42,20,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.48
289,SKU0098,Maintenance Parts 0098,Maintenance Parts,Cedar Components,12,8336,8336,0,0,6.60,55017.60,105.60,5.57,1497.49,58,20,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.45
290,SKU0033,Safety Supplies 0033,Safety Supplies,Cedar Components,12,7645,7645,0,0,6.10,46634.50,97.60,5.71,1339.92,63,15,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,1.27
291,SKU0292,Electrical Components 0292,Electrical Components,Blue Ridge Supply,12,7110,7110,0,0,4.40,31284.00,39.60,4.93,1441.22,32,30,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.72
292,SKU0261,Industrial Supplies 0261,Industrial Supplies,Atlas Industrial,12,4250,4250,0,0,9.70,41225.00,0.00,5.88,722.38,91,35,13,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.69
293,SKU0196,Consumables 0196,Consumables,Atlas Industrial,12,4338,4338,0,0,9.20,39909.60,0.00,4.87,891.37,96,30,8,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.67
294,SKU0131,Industrial Supplies 0131,Industrial Supplies,Atlas Industrial,12,4357,4357,0,0,8.70,37905.90,0.00,5.32,819.50,21,25,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.63
295,SKU0066,Consumables 0066,Consumables,Atlas Industrial,12,4323,4323,0,0,8.20,35448.60,0.00,5.54,779.70,26,20,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.59
296,SKU0260,Material Handling 0260,Material Handling,Summit Packaging,12,3427,3427,0,0,6.00,20562.00,48.00,5.07,676.38,80,30,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.59
297,SKU0001,Industrial Supplies 0001,Industrial Supplies,Atlas Industrial,12,4399,4399,0,0,7.70,33872.30,0.00,5.68,774.02,31,15,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.56
298,SKU0195,Tools 0195,Tools,Summit Packaging,12,3565,3565,0,0,5.50,19607.50,44.00,5.21,684.85,85,25,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.55
299,SKU0130,Material Handling 0130,Material Handling,Summit Packaging,12,3422,3422,0,0,5.00,17110.00,45.00,5.43,629.82,90,20,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.51
300,SKU0065,Tools 0065,Tools,Summit Packaging,12,3475,3475,0,0,4.50,15637.50,36.00,5.88,590.65,95,15,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,0.44
