priority_rank,sku,product_name,category,supplier,location,zone,system_qty,physical_qty,quantity_variance,absolute_quantity_variance,unit_cost,inventory_value,cumulative_adjustment_value,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,stockout_risk_flag,historical_stockout_observation_count,variance_event_count,materiality_flag,risk_tier,risk_reason,current_action_flag,priority_score,recommended_count_frequency
2212,SKU0065,Tools 0065,Tools,Summit Packaging,Z1-B01,Z1,64,64,0,2.0,4.50,288.00,9.00,11.08,5.77,95,15,9,Y,180,2,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.72,Monthly
2213,SKU0029,Shipping Supplies 0029,Shipping Supplies,Harbor Safety,Z2-B04,Z2,46,46,0,0.0,111.30,5119.80,0.00,11.61,3.96,99,35,9,Y,155,0,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,36.71,Weekly
2214,SKU0240,Material Handling 0240,Material Handling,Summit Packaging,Z1-B02,Z1,37,37,0,0.0,52.00,1924.00,0.00,11.47,3.23,20,10,10,Y,180,0,N,Watch,Watch: days of supply <= lead time,N,36.71,Monthly
2215,SKU0181,Industrial Supplies 0181,Industrial Supplies,Atlas Industrial,Z1-B01,Z1,11,11,0,0.0,73.70,810.70,0.00,11.25,0.98,91,35,11,Y,180,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.70,Weekly
2216,SKU0037,Fasteners 0037,Fasteners,Blue Ridge Supply,Z2-B01,Z2,42,42,0,0.0,20.90,877.80,0.00,11.22,3.74,27,35,11,Y,178,0,N,Watch,Watch: days of supply <= lead time,N,36.70,Monthly
2217,SKU0271,Industrial Supplies 0271,Industrial Supplies,Atlas Industrial,Z1-B01,Z1,7,7,0,0.0,46.70,326.90,0.00,11.61,0.60,41,45,11,Y,179,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.68,Weekly
2218,SKU0001,Industrial Supplies 0001,Industrial Supplies,Atlas Industrial,Z1-B01,Z1,0,0,0,0.0,7.70,0.00,0.00,10.83,0.00,31,15,11,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.66,Weekly
2219,SKU0060,Material Handling 0060,Material Handling,Summit Packaging,Z1-B02,Z1,8,8,0,0.0,106.00,848.00,0.00,11.36,0.70,40,30,10,Y,180,0,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.65,Weekly
2220,SKU0294,Packaging 0294,Packaging,Harbor Safety,Z2-B04,Z2,0,0,0,0.0,11.80,0.00,0.00,11.75,0.00,54,40,10,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.64,Weekly
2221,SKU0276,Consumables 0276,Consumables,Atlas Industrial,Z1-B01,Z1,43,43,0,0.0,65.20,2803.60,0.00,10.94,3.93,96,30,10,Y,176,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.60,Monthly
2222,SKU0006,Consumables 0006,Consumables,Atlas Industrial,Z2-B02,Z2,17,17,0,0.0,26.20,445.40,0.00,11.39,1.49,86,40,10,Y,180,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.60,Weekly
2223,SKU0119,Shipping Supplies 0119,Shipping Supplies,Harbor Safety,Z2-B04,Z2,36,36,0,0.0,84.30,3034.80,0.00,11.36,3.17,49,45,9,Y,180,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.60,Monthly
2224,SKU0150,Material Handling 0150,Material Handling,Summit Packaging,Z3-B04,Z3,6,6,0,0.0,79.00,474.00,0.00,11.42,0.53,70,40,10,Y,159,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.58,Weekly
2225,SKU0096,Consumables 0096,Consumables,Atlas Industrial,Z2-B02,Z2,0,0,0,0.0,119.20,0.00,0.00,11.75,0.00,36,10,10,Y,179,0,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.58,Weekly
2226,SKU0089,Shipping Supplies 0089,Shipping Supplies,Harbor Safety,Z2-B02,Z2,391,389,2,10.0,93.30,36293.70,933.00,10.83,35.91,39,15,15,N,58,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.57,Monthly
2227,SKU0024,Packaging 0024,Packaging,Harbor Safety,Z1-B03,Z1,0,0,0,0.0,92.80,0.00,0.00,10.97,0.00,44,10,10,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.56,Weekly
2228,SKU0114,Packaging 0114,Packaging,Harbor Safety,Z1-B03,Z1,0,0,0,0.0,65.80,0.00,0.00,11.33,0.00,74,20,10,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.56,Weekly
2229,SKU0204,Packaging 0204,Packaging,Harbor Safety,Z1-B03,Z1,0,0,0,0.0,38.80,0.00,0.00,11.39,0.00,24,30,10,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.56,Weekly
2230,SKU0173,Safety Supplies 0173,Safety Supplies,Cedar Components,Z3-B01,Z3,102,102,0,0.0,44.10,4498.20,0.00,11.64,8.76,83,35,9,Y,147,0,N,Watch,Watch: days of supply <= lead time,N,36.56,Monthly
2231,SKU0060,Material Handling 0060,Material Handling,Summit Packaging,Z2-B03,Z2,10,10,0,0.0,106.00,1060.00,0.00,11.36,0.88,40,30,10,Y,173,0,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.55,Weekly
2232,SKU0240,Material Handling 0240,Material Handling,Summit Packaging,Z3-B04,Z3,0,0,0,0.0,52.00,0.00,0.00,11.47,0.00,20,10,10,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.55,Weekly
2233,SKU0260,Material Handling 0260,Material Handling,Summit Packaging,Z3-B02,Z3,45,45,0,4.0,6.00,270.00,24.00,11.42,3.94,80,30,6,Y,171,2,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.54,Monthly
2234,SKU0078,Maintenance Parts 0078,Maintenance Parts,Cedar Components,Z3-B01,Z3,0,0,0,0.0,52.60,0.00,0.00,10.94,0.00,78,40,10,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.52,Weekly
2235,SKU0042,Electrical Components 0042,Electrical Components,Blue Ridge Supply,Z3-B02,Z3,12,12,0,0.0,39.40,472.80,0.00,11.47,1.05,82,20,10,Y,169,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.51,Weekly
2236,SKU0155,Tools 0155,Tools,Summit Packaging,Z2-B03,Z2,42,42,0,0.0,97.50,4095.00,0.00,10.83,3.88,45,25,9,Y,170,0,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,36.51,Weekly
2237,SKU0150,Material Handling 0150,Material Handling,Summit Packaging,Z2-B03,Z2,0,0,0,0.0,79.00,0.00,0.00,11.42,0.00,70,40,10,Y,177,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.49,Weekly
2238,SKU0240,Material Handling 0240,Material Handling,Summit Packaging,Z2-B03,Z2,0,0,0,0.0,52.00,0.00,0.00,11.47,0.00,20,10,10,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.49,Weekly
2239,SKU0270,Material Handling 0270,Material Handling,Summit Packaging,Z1-B01,Z1,2,2,0,1.0,43.00,86.00,43.00,11.39,0.18,30,40,4,Y,180,1,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.49,Weekly
2240,SKU0132,Electrical Components 0132,Electrical Components,Blue Ridge Supply,Z3-B02,Z3,8,8,0,0.0,12.40,99.20,0.00,10.92,0.73,32,30,10,Y,177,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.49,Weekly
2241,SKU0042,Electrical Components 0042,Electrical Components,Blue Ridge Supply,Z2-B01,Z2,21,21,0,0.0,39.40,827.40,0.00,11.47,1.83,82,20,10,Y,180,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.49,Weekly
2242,SKU0250,Material Handling 0250,Material Handling,Summit Packaging,Z2-B03,Z2,84,84,0,0.0,89.00,7476.00,0.00,11.75,7.15,50,20,8,Y,159,0,N,Watch,Watch: days of supply <= lead time,N,36.48,Monthly
2243,SKU0245,Tools 0245,Tools,Summit Packaging,Z3-B04,Z3,28,28,0,0.0,70.50,1974.00,0.00,11.19,2.50,75,35,9,Y,174,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.45,Monthly
2244,SKU0006,Consumables 0006,Consumables,Atlas Industrial,Z1-B01,Z1,0,0,0,0.0,26.20,0.00,0.00,11.39,0.00,86,40,10,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.45,Weekly
2245,SKU0026,Consumables 0026,Consumables,Atlas Industrial,Z2-B04,Z2,324,324,0,10.0,100.20,32464.80,1002.00,11.33,28.59,66,20,6,N,29,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.44,Monthly
2246,SKU0286,Consumables 0286,Consumables,Atlas Industrial,Z2-B02,Z2,51,51,0,0.0,102.20,5212.20,0.00,10.92,4.67,46,40,8,Y,114,0,Y,Watch,Watch: days of supply <= lead time,N,36.44,Monthly
2247,SKU0276,Consumables 0276,Consumables,Atlas Industrial,Z3-B03,Z3,0,0,0,0.0,65.20,0.00,0.00,10.94,0.00,96,30,10,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.43,Weekly
2248,SKU0209,Shipping Supplies 0209,Shipping Supplies,Harbor Safety,Z2-B04,Z2,0,0,0,0.0,57.30,0.00,0.00,10.81,0.00,79,15,9,Y,178,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.43,Weekly
2249,SKU0299,Shipping Supplies 0299,Shipping Supplies,Harbor Safety,Z2-B04,Z2,0,0,0,0.0,30.30,0.00,0.00,11.17,0.00,29,25,9,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.43,Weekly
2250,SKU0281,Industrial Supplies 0281,Industrial Supplies,Atlas Industrial,Z2-B02,Z2,14,14,0,0.0,83.70,1171.80,0.00,11.58,1.21,71,15,9,Y,171,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.43,Weekly
2251,SKU0047,Fasteners 0047,Fasteners,Blue Ridge Supply,Z3-B02,Z3,46,46,0,0.0,57.90,2663.40,0.00,11.19,4.11,57,45,9,Y,171,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.42,Monthly
2252,SKU0286,Consumables 0286,Consumables,Atlas Industrial,Z1-B01,Z1,70,70,0,0.0,102.20,7154.00,0.00,10.92,6.41,46,40,8,Y,180,0,Y,Watch,Watch: days of supply <= lead time,N,36.41,Monthly
2253,SKU0158,Maintenance Parts 0158,Maintenance Parts,Cedar Components,Z3-B03,Z3,760,760,0,8.0,108.60,82536.00,868.80,11.33,67.06,78,40,12,N,10,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.41,Monthly
2254,SKU0083,Safety Supplies 0083,Safety Supplies,Cedar Components,Z1-B04,Z1,29,29,0,0.0,71.10,2061.90,0.00,11.58,2.50,53,25,9,Y,150,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.40,Monthly
2255,SKU0065,Tools 0065,Tools,Summit Packaging,Z1-B02,Z1,53,53,0,0.0,4.50,238.50,0.00,11.08,4.78,95,15,9,Y,180,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.40,Monthly
2256,SKU0245,Tools 0245,Tools,Summit Packaging,Z1-B02,Z1,2,2,0,0.0,70.50,141.00,0.00,11.19,0.18,75,35,9,Y,180,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.39,Weekly
2257,SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z3-B03,Z3,64,64,0,0.0,44.70,2860.80,0.00,10.81,5.92,61,25,9,Y,130,0,N,Watch,Watch: days of supply <= lead time,N,36.38,Monthly
2258,SKU0119,Shipping Supplies 0119,Shipping Supplies,Harbor Safety,Z1-B03,Z1,6,6,0,0.0,84.30,505.80,0.00,11.36,0.53,49,45,9,Y,177,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.37,Weekly
2259,SKU0137,Fasteners 0137,Fasteners,Blue Ridge Supply,Z3-B02,Z3,54,54,0,0.0,30.90,1668.60,0.00,11.25,4.80,87,15,9,Y,179,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.36,Monthly
2260,SKU0256,Consumables 0256,Consumables,Atlas Industrial,Z3-B01,Z3,554,554,0,8.0,111.20,61604.80,889.60,11.00,50.36,36,10,14,N,24,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.36,Monthly
2261,SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z2-B02,Z2,0,0,0,0.0,44.70,0.00,0.00,10.81,0.00,61,25,9,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.36,Weekly
2262,SKU0101,Industrial Supplies 0101,Industrial Supplies,Atlas Industrial,Z2-B02,Z2,0,0,0,0.0,17.70,0.00,0.00,11.17,0.00,91,35,9,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.36,Weekly
2263,SKU0173,Safety Supplies 0173,Safety Supplies,Cedar Components,Z1-B04,Z1,27,27,0,0.0,44.10,1190.70,0.00,11.64,2.32,83,35,9,Y,174,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.36,Monthly
2264,SKU0028,Maintenance Parts 0028,Maintenance Parts,Cedar Components,Z2-B02,Z2,482,482,0,8.0,107.60,51863.20,860.80,11.39,42.32,88,30,20,N,54,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.35,Monthly
2265,SKU0229,Shipping Supplies 0229,Shipping Supplies,Harbor Safety,Z3-B04,Z3,0,0,0,2.0,11.30,0.00,22.60,11.36,0.00,59,35,5,Y,172,2,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.34,Weekly
2266,SKU0281,Industrial Supplies 0281,Industrial Supplies,Atlas Industrial,Z1-B01,Z1,23,23,0,0.0,83.70,1925.10,0.00,11.58,1.99,71,15,9,Y,180,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.34,Weekly
2267,SKU0263,Safety Supplies 0263,Safety Supplies,Cedar Components,Z3-B01,Z3,28,28,0,0.0,17.10,478.80,0.00,11.08,2.53,33,45,9,Y,178,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.33,Monthly
2268,SKU0178,Maintenance Parts 0178,Maintenance Parts,Cedar Components,Z1-B04,Z1,71,71,0,0.0,62.60,4444.60,0.00,10.97,6.47,58,20,8,Y,155,0,N,Watch,Watch: days of supply <= lead time,N,36.32,Monthly
2269,SKU0263,Safety Supplies 0263,Safety Supplies,Cedar Components,Z1-B04,Z1,32,32,0,0.0,17.10,547.20,0.00,11.08,2.89,33,45,9,Y,180,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.32,Monthly
2270,SKU0191,Industrial Supplies 0191,Industrial Supplies,Atlas Industrial,Z1-B01,Z1,10,10,0,0.0,110.70,1107.00,0.00,11.22,0.89,41,45,9,Y,167,0,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.29,Weekly
2271,SKU0065,Tools 0065,Tools,Summit Packaging,Z2-B03,Z2,39,39,0,0.0,4.50,175.50,0.00,11.08,3.52,95,15,9,Y,148,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.29,Monthly
2272,SKU0299,Shipping Supplies 0299,Shipping Supplies,Harbor Safety,Z2-B03,Z2,0,0,0,0.0,30.30,0.00,0.00,11.17,0.00,29,25,9,Y,179,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.28,Weekly
2273,SKU0030,Material Handling 0030,Material Handling,Summit Packaging,Z3-B02,Z3,325,325,0,8.0,115.00,37375.00,920.00,11.75,27.66,30,40,16,N,57,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.27,Monthly
2274,SKU0101,Industrial Supplies 0101,Industrial Supplies,Atlas Industrial,Z3-B03,Z3,53,53,0,0.0,17.70,938.10,0.00,11.17,4.75,91,35,9,Y,172,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.27,Monthly
2275,SKU0161,Industrial Supplies 0161,Industrial Supplies,Atlas Industrial,Z1-B04,Z1,179,179,0,8.0,119.70,21426.30,957.60,11.61,15.42,31,15,15,N,169,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.26,Monthly
2276,SKU0101,Industrial Supplies 0101,Industrial Supplies,Atlas Industrial,Z1-B01,Z1,24,24,0,0.0,17.70,424.80,0.00,11.17,2.15,91,35,9,Y,178,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.25,Weekly
2277,SKU0227,Fasteners 0227,Fasteners,Blue Ridge Supply,Z2-B01,Z2,4,4,0,0.0,123.90,495.60,0.00,11.61,0.34,37,25,9,Y,169,0,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.25,Weekly
2278,SKU0057,Fasteners 0057,Fasteners,Blue Ridge Supply,Z3-B02,Z3,76,76,0,0.0,94.90,7212.40,0.00,11.17,6.81,87,15,7,Y,155,0,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,36.24,Weekly
2279,SKU0268,Maintenance Parts 0268,Maintenance Parts,Cedar Components,Z3-B01,Z3,68,68,0,0.0,35.60,2420.80,0.00,11.33,6.00,88,30,8,Y,155,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.23,Monthly
2280,SKU0191,Industrial Supplies 0191,Industrial Supplies,Atlas Industrial,Z3-B03,Z3,0,0,0,0.0,110.70,0.00,0.00,11.22,0.00,41,45,9,Y,180,0,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.22,Weekly
2281,SKU0124,Packaging 0124,Packaging,Harbor Safety,Z2-B04,Z2,0,0,0,0.0,102.80,0.00,0.00,11.00,0.00,24,30,8,Y,180,0,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.21,Weekly
2282,SKU0214,Packaging 0214,Packaging,Harbor Safety,Z2-B04,Z2,0,0,0,0.0,75.80,0.00,0.00,11.36,0.00,54,40,8,Y,175,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.21,Weekly
2283,SKU0255,Tools 0255,Tools,Summit Packaging,Z3-B04,Z3,50,50,0,0.0,107.50,5375.00,0.00,11.17,4.48,25,45,7,Y,155,0,Y,Watch,Watch: days of supply <= lead time,N,36.21,Monthly
2284,SKU0142,Electrical Components 0142,Electrical Components,Blue Ridge Supply,Z3-B01,Z3,39,39,0,0.0,49.40,1926.60,0.00,11.19,3.48,62,40,8,Y,180,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.20,Monthly
2285,SKU0016,Consumables 0016,Consumables,Atlas Industrial,Z2-B02,Z2,9,9,0,0.0,63.20,568.80,0.00,11.36,0.79,36,10,8,Y,180,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.18,Weekly
2286,SKU0160,Material Handling 0160,Material Handling,Summit Packaging,Z2-B03,Z2,17,17,0,0.0,116.00,1972.00,0.00,11.39,1.49,20,10,8,Y,180,0,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,36.17,Weekly
2287,SKU0160,Material Handling 0160,Material Handling,Summit Packaging,Z1-B02,Z1,0,0,0,0.0,116.00,0.00,0.00,11.39,0.00,20,10,8,Y,180,0,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.17,Weekly
2288,SKU0250,Material Handling 0250,Material Handling,Summit Packaging,Z1-B02,Z1,0,0,0,0.0,89.00,0.00,0.00,11.75,0.00,50,20,8,Y,179,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.17,Weekly
2289,SKU0052,Electrical Components 0052,Electrical Components,Blue Ridge Supply,Z3-B02,Z3,22,22,0,0.0,76.40,1680.80,0.00,11.75,1.87,32,30,8,Y,180,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.15,Weekly
2290,SKU0260,Material Handling 0260,Material Handling,Summit Packaging,Z3-B03,Z3,35,35,0,2.0,6.00,210.00,12.00,11.42,3.07,80,30,6,Y,175,2,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.15,Monthly
2291,SKU0070,Material Handling 0070,Material Handling,Summit Packaging,Z3-B04,Z3,14,14,0,0.0,23.00,322.00,0.00,11.33,1.24,70,40,8,Y,163,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.14,Weekly
2292,SKU0250,Material Handling 0250,Material Handling,Summit Packaging,Z3-B04,Z3,3,3,0,0.0,89.00,267.00,0.00,11.75,0.26,50,20,8,Y,169,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.14,Weekly
2293,SKU0034,Packaging 0034,Packaging,Harbor Safety,Z1-B03,Z1,0,0,0,0.0,9.80,0.00,0.00,10.94,0.00,74,20,8,Y,178,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.13,Weekly
2294,SKU0124,Packaging 0124,Packaging,Harbor Safety,Z1-B03,Z1,0,0,0,0.0,102.80,0.00,0.00,11.00,0.00,24,30,8,Y,180,0,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.13,Weekly
2295,SKU0289,Shipping Supplies 0289,Shipping Supplies,Harbor Safety,Z2-B01,Z2,547,547,0,8.0,113.30,61975.10,906.40,11.19,48.86,79,15,11,N,11,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.13,Monthly
2296,SKU0291,Industrial Supplies 0291,Industrial Supplies,Atlas Industrial,Z2-B02,Z2,29,29,0,0.0,120.70,3500.30,0.00,11.25,2.58,21,25,7,Y,180,0,Y,Watch,Watch: days of supply <= lead time,N,36.13,Monthly
2297,SKU0160,Material Handling 0160,Material Handling,Summit Packaging,Z3-B04,Z3,0,0,0,0.0,116.00,0.00,0.00,11.39,0.00,20,10,8,Y,168,0,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.12,Weekly
2298,SKU0093,Safety Supplies 0093,Safety Supplies,Cedar Components,Z1-B04,Z1,43,43,0,0.0,108.10,4648.30,0.00,11.25,3.82,83,35,7,Y,172,0,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,36.12,Weekly
2299,SKU0183,Safety Supplies 0183,Safety Supplies,Cedar Components,Z1-B04,Z1,51,51,0,0.0,81.10,4136.10,0.00,11.61,4.39,33,45,7,Y,180,0,N,Watch,Watch: days of supply <= lead time,N,36.09,Monthly
2300,SKU0193,Safety Supplies 0193,Safety Supplies,Cedar Components,Z3-B03,Z3,550,550,0,8.0,118.10,64955.00,944.80,11.58,47.48,63,15,5,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.09,Monthly
2301,SKU0070,Material Handling 0070,Material Handling,Summit Packaging,Z2-B03,Z2,8,8,0,0.0,23.00,184.00,0.00,11.33,0.71,70,40,8,Y,178,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.08,Weekly
2302,SKU0188,Maintenance Parts 0188,Maintenance Parts,Cedar Components,Z3-B01,Z3,74,74,0,0.0,99.60,7370.40,0.00,10.94,6.76,88,30,6,Y,132,0,Y,Watch,Watch: physical quantity <= reorder point,N,36.07,Monthly
2303,SKU0196,Consumables 0196,Consumables,Atlas Industrial,Z1-B01,Z1,62,62,0,0.0,9.20,570.40,0.00,11.47,5.40,96,30,8,Y,170,0,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,36.05,Monthly
2304,SKU0183,Safety Supplies 0183,Safety Supplies,Cedar Components,Z3-B01,Z3,34,34,0,0.0,81.10,2757.40,0.00,11.61,2.93,33,45,7,Y,160,0,N,Watch,Watch: days of supply <= lead time,N,36.03,Monthly
2305,SKU0070,Material Handling 0070,Material Handling,Summit Packaging,Z1-B01,Z1,0,0,0,0.0,23.00,0.00,0.00,11.33,0.00,70,40,8,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.02,Weekly
2306,SKU0122,Electrical Components 0122,Electrical Components,Blue Ridge Supply,Z2-B03,Z2,301,301,0,10.0,95.40,28715.40,954.00,10.94,27.50,82,20,12,N,1,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,36.02,Monthly
2307,SKU0142,Electrical Components 0142,Electrical Components,Blue Ridge Supply,Z2-B01,Z2,1,1,0,0.0,49.40,49.40,0.00,11.19,0.09,62,40,8,Y,178,0,N,Critical,Critical: days of supply <= 0.25 lead time,Y,36.02,Weekly
2308,SKU0232,Electrical Components 0232,Electrical Components,Blue Ridge Supply,Z2-B01,Z2,0,0,0,0.0,22.40,0.00,0.00,10.94,0.00,92,10,8,Y,176,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.01,Weekly
2309,SKU0106,Consumables 0106,Consumables,Atlas Industrial,Z3-B03,Z3,0,0,0,0.0,36.20,0.00,0.00,11.42,0.00,66,20,8,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.00,Weekly
2310,SKU0196,Consumables 0196,Consumables,Atlas Industrial,Z3-B03,Z3,0,0,0,0.0,9.20,0.00,0.00,11.47,0.00,96,30,8,Y,180,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.00,Weekly
2311,SKU0039,Shipping Supplies 0039,Shipping Supplies,Harbor Safety,Z2-B04,Z2,0,0,0,0.0,28.30,0.00,0.00,11.58,0.00,49,45,7,Y,163,0,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,36.00,Weekly
2312,SKU0129,Shipping Supplies 0129,Shipping Supplies,Harbor Safety,Z2-B04,Z2,0,0,0,0.0,121.30,0.00,0.00,11.64,0.00,79,15,7,Y,180,0,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.00,Weekly
2313,SKU0219,Shipping Supplies 0219,Shipping Supplies,Harbor Safety,Z2-B04,Z2,0,0,0,0.0,94.30,0.00,0.00,11.08,0.00,29,25,7,Y,180,0,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,36.00,Weekly
2314,SKU0152,Electrical Components 0152,Electrical Components,Blue Ridge Supply,Z3-B02,Z3,78,78,0,0.0,86.40,6739.20,0.00,11.47,6.80,92,10,6,Y,51,0,N,Watch,Watch: physical quantity <= reorder point,N,36.00,Monthly
